X,Y,ELEV,ELEVATION
645040.190,4474405.560,1445.300049,1445.3
645040.630,4474405.630,1445.270020,1445.27
645041.060,4474405.700,1445.209961,1445.21
645041.500,4474405.750,1445.160034,1445.16
645041.940,4474405.800,1445.150024,1445.15
645042.380,4474405.850,1445.089966,1445.09
645042.810,4474405.910,1445.050049,1445.05
645043.250,4474405.980,1445.099976,1445.1
645043.690,4474406.050,1445.099976,1445.1
645044.120,4474406.110,1445.099976,1445.1
645044.560,4474406.160,1445.099976,1445.1
645045.000,4474406.210,1445.160034,1445.16
645045.440,4474406.280,1445.160034,1445.16
645045.870,4474406.350,1445.099976,1445.1
645046.370,4474406.410,1445.060059,1445.06
645046.810,4474406.480,1445.050049,1445.05
645047.250,4474406.550,1445.079956,1445.08
645047.690,4474406.630,1445.089966,1445.09
645048.120,4474406.720,1445.130005,1445.13
645048.500,4474406.820,1445.160034,1445.16
645037.890,4474434.380,1445.229980,1445.23
645040.300,4474429.100,1445.130005,1445.13
645041.490,4474424.280,1445.140015,1445.14
645044.270,4474419.150,1445.260010,1445.26
645045.420,4474414.600,1445.319946,1445.32
645048.050,4474409.450,1445.209961,1445.21
645027.700,4474430.580,1445.050049,1445.05
645029.040,4474427.660,1445.089966,1445.09
645029.470,4474421.740,1444.989990,1444.99
645030.920,4474418.880,1445.099976,1445.1
645031.550,4474413.080,1445.150024,1445.15
645033.070,4474410.270,1445.319946,1445.32
645034.390,4474404.350,1445.290039,1445.29
645036.200,4474401.600,1445.130005,1445.13
645038.100,4474395.590,1445.199951,1445.2
645040.090,4474392.890,1445.040039,1445.04
645042.060,4474386.850,1445.239990,1445.24
645043.980,4474384.100,1445.369995,1445.37
645046.120,4474378.100,1445.270020,1445.27
645048.100,4474375.340,1445.270020,1445.27
645021.360,4474431.620,1445.510010,1445.51
645022.440,4474428.630,1445.339966,1445.34
645022.760,4474424.060,1445.599976,1445.6
645022.810,4474420.270,1445.609985,1445.61
645024.060,4474415.870,1445.550049,1445.55
645024.030,4474412.120,1445.280029,1445.28
645025.580,4474407.910,1445.130005,1445.13
645025.840,4474403.910,1445.170044,1445.17
645027.860,4474399.720,1445.329956,1445.33
645028.700,4474395.790,1445.359985,1445.36
645031.100,4474391.660,1445.479980,1445.48
645032.200,4474387.890,1445.530029,1445.53
645034.500,4474383.980,1445.349976,1445.35
645035.570,4474380.230,1445.510010,1445.51
645038.450,4474375.920,1445.390015,1445.39
645040.020,4474370.600,1445.579956,1445.58
645041.780,4474368.080,1445.359985,1445.36
645043.570,4474362.680,1445.400024,1445.4
645045.390,4474360.150,1445.369995,1445.37
645047.370,4474354.590,1445.459961,1445.46
645048.380,4474436.070,1445.130005,1445.13
645047.690,4474435.900,1445.050049,1445.05
645047.000,4474435.750,1444.930054,1444.93
645046.310,4474435.640,1444.949951,1444.95
645045.690,4474435.520,1444.989990,1444.99
645045.000,4474435.400,1445.069946,1445.07
645044.380,4474435.290,1445.130005,1445.13
645011.190,4474455.130,1446.300049,1446.3
645011.190,4474455.260,1446.319946,1446.32
645011.250,4474455.320,1446.310059,1446.31
645011.250,4474455.400,1446.270020,1446.27
645011.310,4474455.460,1446.250000,1446.25
645011.370,4474455.510,1446.239990,1446.24
645011.500,4474455.520,1446.239990,1446.24
645011.620,4474455.510,1446.219971,1446.22
645011.750,4474455.470,1446.290039,1446.29
645011.940,4474455.390,1446.199951,1446.2
645012.060,4474455.310,1446.160034,1446.16
645012.310,4474455.180,1446.109985,1446.11
645012.500,4474455.070,1445.989990,1445.99
645012.750,4474454.950,1445.920044,1445.92
645013.000,4474454.820,1445.869995,1445.87
645013.190,4474454.690,1445.829956,1445.83
645013.440,4474454.570,1445.760010,1445.76
645013.690,4474454.440,1445.680054,1445.68
645013.940,4474454.290,1445.660034,1445.66
645014.250,4474454.160,1445.530029,1445.53
645014.560,4474454.020,1445.550049,1445.55
645014.810,4474453.900,1445.500000,1445.5
645015.060,4474453.790,1445.469971,1445.47
645015.310,4474453.670,1445.449951,1445.45
645015.630,4474453.550,1445.439941,1445.44
645015.870,4474453.470,1445.500000,1445.5
645016.190,4474453.390,1445.520020,1445.52
645016.500,4474453.330,1445.449951,1445.45
645016.810,4474453.280,1445.540039,1445.54
645017.130,4474453.220,1445.589966,1445.59
645017.500,4474453.180,1445.520020,1445.52
645017.810,4474453.140,1445.500000,1445.5
645018.190,4474453.120,1445.500000,1445.5
645018.560,4474453.100,1445.500000,1445.5
645018.940,4474453.090,1445.510010,1445.51
645019.310,4474453.080,1445.479980,1445.48
645019.690,4474453.060,1445.410034,1445.41
